TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  NW_018149275.1 Orbicella faveolata isolate FL unplaced genomic ...  93.6    4e-18
  LJWW01000268.1 Exaiptasia pallida isolate CC7 scaffold269, whol...  92.8    7e-18
  afen_scaffold_331                                                   92.8    7e-18
  SczhEnG_376                                                         92.8    8e-18
  SczhEnG_2313                                                        91.7    2e-17
  afen_scaffold_330                                                   90.9    3e-17
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...  90.9    3e-17
  scaffold_23                                                         89.7    9e-17
  scaffold_4                                                          89.0    1e-16
  LJWW01000348.1 Exaiptasia pallida isolate CC7 scaffold349, whol...  88.6    2e-16
  LJWW01000024.1 Exaiptasia pallida isolate CC7 scaffold24, whole...  87.4    4e-16
  NW_004167086.1 Hydra vulgaris strain 105 unplaced genomic scaff...  85.5    2e-15
  dspp_scaffold_20                                                    85.1    2e-15
  NW_018150091.1 Orbicella faveolata isolate FL unplaced genomic ...  85.1    3e-15
  adi_Scaffold138                                                     84.3    4e-15
  NW_018150166.1 Orbicella faveolata isolate FL unplaced genomic ...  84.3    4e-15
  LJWW01000122.1 Exaiptasia pallida isolate CC7 scaffold122, whol...  84.0    6e-15
  afen_scaffold_132                                                   84.0    6e-15
  dspp_scaffold_88                                                    83.6    8e-15
  dspp_scaffold_32                                                    83.6    8e-15
  SczhEnG_756                                                         83.2    9e-15
  adi_Scaffold74                                                      83.2    1e-14
  scaffold_55                                                         82.8    1e-14
  SczhEnG_462                                                         82.4    2e-14
  afen_scaffold_639                                                   82.0    2e-14
  adi_Scaffold535                                                     82.0    2e-14
  SczhEnG_538                                                         81.3    4e-14
  LJWW01000150.1 Exaiptasia pallida isolate CC7 scaffold150, whol...  80.9    5e-14
  NW_018149498.1 Orbicella faveolata isolate FL unplaced genomic ...  80.9    6e-14
  NW_004176358.1 Hydra vulgaris strain 105 unplaced genomic scaff...  80.5    8e-14
  NW_004167143.1 Hydra vulgaris strain 105 unplaced genomic scaff...  80.1    1e-13
  dspp_scaffold_149                                                   79.7    1e-13
  NW_004170372.1 Hydra vulgaris strain 105 unplaced genomic scaff...  78.6    3e-13
  adi_Scaffold148                                                     75.9    2e-12
  afen_scaffold_116                                                   74.3    6e-12
  dspp_scaffold_50                                                    73.9    1e-11
  adi_Scaffold1941                                                    72.8    2e-11
  scaffold_90                                                         72.8    2e-11
  NW_004167665.1 Hydra vulgaris strain 105 unplaced genomic scaff...  72.4    3e-11
  scaffold_1700                                                       72.0    3e-11
  SczhEnG_2085                                                        72.0    4e-11
  NW_018149278.1 Orbicella faveolata isolate FL unplaced genomic ...  70.1    2e-10
  LJWW01000080.1 Exaiptasia pallida isolate CC7 scaffold80, whole...  67.8    8e-10
  scaffold_449                                                        66.2    2e-09
  NW_004167734.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.2    2e-08
  NW_004170894.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.6    0.003
  scaffold_634                                                        40.8    0.17 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= CAA41228.2 glutathione peroxidase [Homo sapiens]

Length=226
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...    130   1e-31
  NW_018149684.1 Orbicella faveolata isolate FL unplaced genomic ...    125   5e-30
  SczhEnG_2313                                                          124   3e-29
  dspp_scaffold_25                                                      121   2e-28
  adi_Scaffold74                                                        120   3e-28
  scaffold_25                                                           120   5e-28
  dspp_scaffold_20                                                      117   3e-27
  LJWW01000331.1 Exaiptasia pallida isolate CC7 scaffold332, whol...    117   5e-27
  afen_scaffold_497                                                     117   5e-27
  LJWW01000168.1 Exaiptasia pallida isolate CC7 scaffold168, whol...    116   9e-27
  dspp_scaffold_453                                                     111   4e-25
  adi_Scaffold113                                                       111   6e-25
  afen_scaffold_330                                                     109   2e-24
  afen_scaffold_352                                                     106   2e-23
  scaffold_4                                                            106   2e-23
  SczhEnG_1237                                                          105   4e-23
  scaffold_499                                                          105   5e-23
  dspp_scaffold_10                                                      104   8e-23
  afen_scaffold_521                                                     103   2e-22
  LJWW01000322.1 Exaiptasia pallida isolate CC7 scaffold323, whol...    103   2e-22
  NW_018149333.1 Orbicella faveolata isolate FL unplaced genomic ...    103   3e-22
  NW_018149303.1 Orbicella faveolata isolate FL unplaced genomic ...    103   3e-22
  NW_004170065.1 Hydra vulgaris strain 105 unplaced genomic scaff...  99.0    6e-21
  SczhEnG_65                                                          98.2    1e-20
  scaffold_52                                                         97.8    2e-20
  NW_004169002.1 Hydra vulgaris strain 105 unplaced genomic scaff...  85.1    2e-16
  LJWW01000096.1 Exaiptasia pallida isolate CC7 scaffold96, whole...  82.0    2e-15
  adi_Scaffold2261                                                    79.0    3e-14
  scaffold_12193                                                      76.6    5e-14
  afen_scaffold_14                                                    76.6    1e-13
  LJWW01000329.1 Exaiptasia pallida isolate CC7 scaffold330, whol...  75.9    2e-13
  afen_scaffold_31                                                    74.3    7e-13
